playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,Arm Slot.1,Name_ko,High,position
51863,51863,,,1990.0,5.0,24.0,Venezuela,,,,,,,,,Wilmer,Font,,,,249.0,76.0,R,R,,,,,,,,2051863,,1.0,,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,폰트,,
51463,51463,,,1989.0,11.0,21.0,Venezuela,,,,,,,,,Jose,Pirela,,,,218.0,72.0,R,R,,,,,,,,2051463,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,피렐라,,
52457,52457,,,1989.0,10.0,8.0,Venezuela,,,,,,,,,Albert,Suarez,,,,265.0,75.0,R,R,,,,,,,,2052457,,1.0,4.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,수아레즈,,
78129,78129,,,1971.0,6.0,2.0,Venezuela,,,,,,,,,Roberto,Petagine,,,,185.0,73.0,L,L,,,,,,,,2078129,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,페타지니,,
69032,69032,,,1990.0,10.0,14.0,Venezuela,,,,,,,,,William,Cuevas,,,,216.0,74.0,S,R,,,,,,,,2069032,,1.0,4.0,6.0,5.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,쿠에바스,,
54354,54354,,,1996.0,12.0,10.0,Venezuela,,,,,,,,,Enmanuel,De Jesus,,,,229.0,76.0,L,L,,,,,,,,2054354,,1.0,2.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,헤이수스,,
50506,50506,,,1992.0,2.0,22.0,Venezuela,,,,,,,,,Dixon,Machado,,,,201.0,73.0,R,R,,,,,,,,2050506,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,마차도,,
54529,54529,,,1994.0,10.0,5.0,Venezuela,,,,,,,,,Victor,Reyes,,,,192.0,77.0,S,R,,,,,,,,2054529,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,레이예스,,
73848,73848,,,1971.0,9.0,29.0,Venezuela,,,,,,,,,Eddy,Diaz,,,,190.0,70.0,R,R,,,,,,,,2073848,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,디아즈,,
68526,68526,,,1987.0,10.0,23.0,Venezuela,,,,,,,,,Felix,Doubront,,,,238.0,74.0,L,L,,,,,,,,2068526,,1.0,5.0,3.0,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,듀브론트,,
53714,53714,,,1997.0,4.0,11.0,Venezuela,,,,,,,,,Ricardo,Sanchez,,,,218.0,70.0,L,L,,,,,,,,2053714,,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,산체스,,
73559,73559,,,1969.0,6.0,4.0,Venezuela,,,,,,,,,Roberto,Perez,,,,229.0,76.0,R,R,,,,,,,,2073559,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,페레즈,,
54730,54730,,,1998.0,11.0,10.0,Venezuela,,,,,,,,,Yonathan,Perlaza,,,,194.0,69.0,S,R,,,,,,,,2054730,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,페라자,,
51567,51567,,,1992.0,12.0,29.0,Venezuela,,,,,,,,,Enderson,Franco,,,,238.0,74.0,R,R,,,,,,,,2051567,,1.0,2.0,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Hispanic,4.0,4.0,프랑코,,
