playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot
93607,2093607,,,1970.0,8.0,15.0,South Korea,,,,,,,,,Jong-beom,Lee,,,Son of Wind,161.0,70.0,R,R,,,건국대,93607,,,,,Asian,
83412,2083412,,,1958.0,3.0,20.0,South Korea,,,,,,,,,Si-jin,Kim,,,,190.0,72.0,R,R,,,한양대,83412,,,,,Asian,
92301,2092301,,,1970.0,3.0,1.0,South Korea,,,,,,,,,Min-tae,Chung,,,,198.0,72.0,R,R,,,한양대,92301,,,,,Asian,
82234,2082234,,,1956.0,3.0,12.0,South Korea,,,,,,,,,Cheol-sun,Park,,,Phoenix,,,R,R,,,연세대,82234,,,,,Asian,
67025,2067025,,,1990.0,5.0,24.0,United States,,,,,,,,,Mel,Rojas Jr,,,,225.0,74.0,S,R,,,,67025,,,,,Caucasian,
77637,2077637,,,1988.0,3.0,1.0,South Korea,,,,,,,,,Hyeon-jong,Yang,,,The Great,201.0,72.0,L,L,,,,77637,,,,,Asian,
50558,2050558,,,1988.0,12.0,1.0,United States,,,,,,,,,Dan,Straily,,,,220.0,74.0,R,R,,,,50558,,,,,Caucasian,
94204,2094204,,,1975.0,5.0,5.0,South Korea,,,,,,,,,Jung-soo,Sim,,,Hercules,220.0,72.0,R,R,,,,94204,,,,,Asian,
93410,2093410,,,1969.0,5.0,26.0,South Korea,,,,,,,,,Joon-hyuk,Yang,,,Yangshin,209.0,74.0,L,L,,,영남대,93410,,,,,Asian,
90695,2090695,,,1972.0,9.0,28.0,South Korea,,,,,,,,,Hyun-woo,Hong,,,Maitreya,183.0,71.0,R,R,,,,90695,,,,,Asian,
68341,2068341,,,1999.0,8.0,30.0,South Korea,,,,,,,,,Woo-jin,An,,,,198.0,76.0,R,R,,,,68341,,,,,Asian,
67341,2067341,,,1998.0,8.0,20.0,South Korea,,,,,,,,,Jung-hoo,Lee,,,Grandson of Wind,190.0,73.0,L,R,,,,67341,,,,,Asian,
88332,2088332,,,1969.0,7.0,10.0,South Korea,,,,,,,,,Jung-hyun,Park,,,,183.0,76.0,R,R,,,,88332,,,,,Asian,
52605,2052605,,,2003.0,10.0,2.0,South Korea,,,,,,,,,Do-yeong,Kim,,,,187.0,72.0,R,R,,,,52605,,,,,Asian,
76325,2076325,,,1987.0,4.0,5.0,South Korea,,,,,,,,,Jung-ho,Kang,,,King Kang,212.0,72.0,R,R,,,,76325,,,,,Asian,
92809,2092809,,,1972.0,7.0,11.0,South Korea,,,,,,,,,Kyung-wahn,Park,,,Commander,168.0,70.0,R,R,,,,92809,,,,,Asian,
75125,2075125,,,1986.0,7.0,10.0,South Korea,,,,,,,,,Byung-ho,Park,,,Park Bang,236.0,73.0,R,R,,,,75125,,,,,Asian,
99534,2099534,,,1965.0,5.0,2.0,Dominican Republic,,,,,,,,,Felix,Jose,,,Black Seagull,220.0,72.0,S,R,,,,99534,,,,,Hispanic,
72443,2072443,,,1983.0,12.0,16.0,South Korea,,,,,,,,,Hyung-woo,Choi,,,,234.0,71.0,L,R,,,,72443,,,,,Asian,
93147,2093147,,,1971.0,3.0,11.0,South Korea,,,,,,,,,Sang-hoon,Lee,,,,198.0,71.0,L,L,,,고려대,93147,,,,,Asian,
92508,2092508,,,1973.0,3.0,20.0,South Korea,,,,,,,,,Jong-seok,Yeom,,,,220.0,76.0,R,R,,,,92508,,,,,Asian,
77829,2077829,,,1988.0,7.0,22.0,South Korea,,,,,,,,,Kwang-hyun,Kim,,,KK,194.0,74.0,L,L,,,,77829,,,,,Asian,
84240,2084240,,,1961.0,7.0,27.0,South Korea,,,,,,,,,Il-eon,Choi,,,,176.0,70.0,R,R,,,센슈대,84240,,,,,Asian,
92704,2092704,,,1972.0,3.0,28.0,South Korea,,,,,,,,,Min-chul,Jung,,,,179.0,74.0,R,R,,,,92704,,,,,Asian,
88770,2088770,,,1965.0,6.0,2.0,South Korea,,,,,,,,,Yong-duk,Han,,,,185.0,72.0,R,R,,,,88770,,,,,Asian,
87413,2087413,,,1956.0,5.0,22.0,Japan,,,,,,,,,Sung-gil,Kim,,,,,,R,R,,,,87413,,,,,Asian,
87760,2087760,,,1968.0,4.0,10.0,South Korea,,,,,,,,,Jong-hoon,Jang,,,,205.0,73.0,R,R,,,,87760,,,,,Asian,
94106,2094106,,,1971.0,5.0,25.0,South Korea,,,,,,,,,Ji-hyun,Ryu,,,,154.0,69.0,R,R,,,한양대,94106,,,,,Asian,
51257,2051257,,,1989.0,1.0,10.0,Cuba,,,,,,,,,Ariel,Miranda,,,,190.0,74.0,L,L,,,,51257,,,,,Hispanic,
95657,2095657,,,1976.0,6.0,4.0,South Korea,,,,,,,,,Chang-yong,Lim,,,,181.0,72.0,R,R,,,,95657,,,,,Asian,
76290,2076290,,,1988.0,1.0,12.0,South Korea,,,,,,,,,Hyun-soo,Kim,,,Hitting Machine,231.0,74.0,L,R,,,,76290,,,,,Asian,
62322,2062322,,,1979.0,7.0,31.0,United States,,,,,,,,,Andy,Van Hekken,,,,198.0,76.0,R,L,,,,62322,,,,,Caucasian,
91803,2091803,,,1969.0,5.0,23.0,South Korea,,,,,,,,,Ki-tae,Kim,,,The Gentleman Lefty,187.0,71.0,L,L,,,인하대,91803,,,,,Asian,
96362,2096362,,,1973.0,9.0,7.0,South Korea,,,,,,,,,Jae-hong,Park,,,Little Cuba,187.0,69.0,R,R,,,연세대,96362,,,,,Asian,
65856,2065856,,,1988.0,10.0,14.0,United States,,,,,,,,,Merrill,Kelly,,,,190.0,74.0,R,R,,,,65856,,,,,Caucasian,
89410,2089410,,,1970.0,5.0,11.0,South Korea,,,,,,,,,Sang-yup,Kim,,,,209.0,74.0,R,R,,,,89410,,,,,Asian,
90213,2090213,,,1970.0,3.0,15.0,South Korea,,,,,,,,,Sang-jin,Kim,,,,201.0,72.0,R,R,,,,90213,,,,,Asian,
71752,2071752,,,1982.0,5.0,29.0,South Korea,,,,,,,,,Tae-gyun,Kim,,,,243.0,73.0,R,R,,,,71752,,,,,Asian,
71564,2071564,,,1982.0,6.0,21.0,South Korea,,,,,,,,,Dae-ho,Lee,,,Big Boy,287.0,76.0,R,R,,,,71564,,,,,Asian,
92906,2092906,,,1973.0,7.0,27.0,South Korea,,,,,,,,,Jong-ho,Park,,,,183.0,69.0,S,R,,,,92906,,,,,Asian,
64300,2064300,,,1995.0,10.0,17.0,South Korea,,,,,,,,,Ha-sung,Kim,,,,172.0,70.0,R,R,,,,64300,,,,,Asian,
89670,2089670,,,1964.0,5.0,1.0,South Korea,,,,,,,,,Kye-hyeon,Cho,,,,192.0,70.0,R,R,,,연세대,89670,,,,,Asian,
63938,2063938,,,1983.0,3.0,26.0,United States,,,,,,,,,Eric,Hacker,,,,229.0,73.0,R,R,,,,63938,,,,,Caucasian,
61240,2061240,,,1981.0,5.0,6.0,United States,,,,,,,,,Nippert,Dustin,,,,227.0,80.0,R,R,,,,61240,,,,,Caucasian,
68135,2068135,,,1989.0,9.0,25.0,United States,,,,,,,,,Tylor,Wilson,,,,185.0,74.0,R,R,,,,68135,,,,,Caucasian,
75808,2075808,,,1982.0,10.0,2.0,South Korea,,,,,,,,,Geun-woo,Jeong,,,Devil,176.0,68.0,R,R,,,고려대,75808,,,,,Asian,
78224,2078224,,,1988.0,9.0,22.0,South Korea,,,,,,,,,Jae-hwan,Kim,,,,198.0,72.0,L,R,,,,78224,,,,,Asian,
76232,2076232,,,1987.0,6.0,5.0,South Korea,,,,,,,,,Eui-ji,Yang,,,,209.0,71.0,R,R,,,,76232,,,,,Asian,
86722,2086722,,,1962.0,4.0,21.0,South Korea,,,,,,,,,Sang-kun,Lee,,,Computer Pitcher,159.0,69.0,R,R,,,한양대,86722,,,,,Asian,
97109,2097109,,,1974.0,10.0,25.0,South Korea,,,,,,,,,Byeong-kyu,Lee,,,Ra Bang,187.0,73.0,L,L,,,단국대,97109,,,,,Asian,
62947,2062947,,,1989.0,10.0,3.0,South Korea,,,,,,,,,Sung-beom,Na,,,Star,220.0,72.0,L,L,,,연세대,62947,,,,,Asian,
66108,2066108,,,1993.0,11.0,21.0,South Korea,,,,,,,,,Chang-ki,Hong,,,,207.0,74.0,L,R,,,건국대,66108,,,,,Asian,
87340,2087340,,,1966.0,11.0,8.0,South Korea,,,,,,,,,Chang-ho,Choi,,,,157.0,69.0,L,L,,,,87340,,,,,Asian,
67313,2067313,,,1988.0,2.0,10.0,United States,,,,,,,,,Brigham,Jake,,,,198.0,75.0,R,R,,,,67313,,,,,Caucasian,
