LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
10005,1989,5,,,,
10005,1988,5,,,,
10005,1987,5,,,,
10005,1986,5,,,,
10005,1985,5,,,,
10005,1984,5,,,,
10005,1983,5,,,,
10005,1982,5,,,,
10082,1989,15,,,,
10082,1988,15,,,,
10082,1987,15,,,,
10082,1986,15,,,,
10082,1985,15,,,,
10082,1984,15,,,,
10082,1983,15,,,,
10082,1982,15,,,,
10182,1987,28,,,,
10182,1986,28,,,,
10182,1985,34,,,,
10182,1984,34,,,,
10182,1983,34,,,,
20001,1983,72,,,,
20001,1982,72,,,,
30003,1985,8,,,,
30003,1984,8,,,,
30003,1983,8,,,,
30003,1982,37,,,,
30004,1988,6,,,,
30004,1987,6,,,,
30004,1986,6,,,,
30004,1985,6,,,,
30004,1984,6,,,,
30004,1983,6,,,,
30004,1982,6,,,,
40002,1984,7,,,,
40002,1983,7,,,,
40002,1982,7,,,,
40003,1984,28,,,,
40003,1983,28,,,,
40003,1982,28,,,,
40006,1988,4,,,,
40006,1987,4,,,,
40006,1986,4,,,,
40006,1985,4,,,,
40006,1984,4,,,,
40006,1983,4,,,,
40006,1982,1,,,,
40007,1989,1,,,,
40007,1988,1,,,,
40007,1987,1,,,,
40007,1986,1,,,,
40007,1985,1,,,,
40007,1984,1,,,,
40007,1983,1,,,,
50007,2023,0,,,,
50007,2022,0,,,,
50007,2021,107,,,,
50007,2020,107,,,,
50030,2024,30,,,,
50030,2023,30,,,,
50030,2022,30,,,,
50030,2021,30,,,,
50030,2020,30,,,,
50036,2025,11,,,,
50036,2023,22,,,,
50036,2022,59,,,,
50036,2021,59,,,,
50036,2020,36,,,,
50040,2022,40,,,,
50040,2021,40,,,,
50040,2020,40,,,,
50054,2025,59,,,,
50054,2024,14,,,,
50054,2022,54,,,,
50054,2021,54,,,,
50054,2020,54,,,,
50066,2024,55,,,,
50066,2023,55,,,,
50066,2021,66,,,,
50066,2020,66,,,,
50092,2024,35,,,,
50092,2022,68,,,,
50092,2021,102,,,,
50092,2020,102,,,,
